SLN,Course Name,Section,Required Section Amount,Limit,Class Day,Class Time
12880,COMP PROGRAMMING I,A,1,240,WF,1130-1220
12881,COMP PROGRAMMING I,AA,0,21,TTh,830-920
12882,COMP PROGRAMMING I,AB,0,21,TTh,930-1020
12883,COMP PROGRAMMING I,AC,0,20,TTh,1030-1120
12884,COMP PROGRAMMING I,AD,0,21,TTh,1130-1220
12885,COMP PROGRAMMING I,AE,0,21,TTh,1230-120
12886,COMP PROGRAMMING I,AF,0,21,TTh,130-220
12887,COMP PROGRAMMING I,AG,0,21,TTh,230-320
12888,COMP PROGRAMMING I,AH,0,21,TTh,330-420
12891,COMP PROGRAMMING I,AK,0,21,TTh,1030-1120
12892,COMP PROGRAMMING I,AL,0,21,TTh,1130-1220
12893,COMP PROGRAMMING I,AM,0,21,TTh,1230-120
12894,COMP PROGRAMMING I,AN,0,10,TTh,130-220
12907,COMP PROGRAMMING I,B,1,329,WF,230-320
12908,COMP PROGRAMMING I,BA,0,21,TTh,830-920
12909,COMP PROGRAMMING I,BB,0,22,TTh,930-1020
12910,COMP PROGRAMMING I,BC,0,22,TTh,1030-1120
12911,COMP PROGRAMMING I,BD,0,22,TTh,1130-1220
12912,COMP PROGRAMMING I,BE,0,21,TTh,1230-120
12913,COMP PROGRAMMING I,BF,0,21,TTh,130-220
12914,COMP PROGRAMMING I,BG,0,21,TTh,230-320
12915,COMP PROGRAMMING I,BH,0,21,TTh,330-420
12917,COMP PROGRAMMING I,BJ,0,21,TTh,930-1020
12918,COMP PROGRAMMING I,BK,0,21,TTh,1030-1120
12919,COMP PROGRAMMING I,BL,0,21,TTh,1130-1220
12920,COMP PROGRAMMING I,BM,0,21,TTh,1230-120
12921,COMP PROGRAMMING I,BN,0,11,TTh,130-220
12922,COMP PROGRAMMING I,BO,0,21,TTh,230-320
12923,COMP PROGRAMMING I,BP,0,21,TTh,330-420
22550,COMP PROGRAMMING I,BQ,0,21,TTh,1230-120
12924,COMP PROGRAMMING II ,A,1,376,WF,1130-1220
12925,COMP PROGRAMMING II ,AA,0,21,TTh,830-920
12926,COMP PROGRAMMING II ,AB,0,21,TTh,930-1020
12927,COMP PROGRAMMING II ,AC,0,22,TTh,1030-1120
12928,COMP PROGRAMMING II ,AD,0,22,TTh,1130-1220
12929,COMP PROGRAMMING II ,AE,0,22,TTh,1230-120
12930,COMP PROGRAMMING II ,AF,0,21,TTh,130-220
12931,COMP PROGRAMMING II ,AG,0,21,TTh,230-320
12932,COMP PROGRAMMING II ,AH,0,21,TTh,330-420
12934,COMP PROGRAMMING II ,AJ,0,21,TTh,930-1020
12935,COMP PROGRAMMING II ,AK,0,21,TTh,1030-1120
12936,COMP PROGRAMMING II ,AL,0,21,TTh,1130-1220
12937,COMP PROGRAMMING II ,AM,0,21,TTh,1230-120
