SLN,Course Name,Course Ticker,Section,Required Section Amount,Limit,Class Day,Class Time
13629,INTRO MICROECON,ECON200,A,0,500,TTh,230-350
13630,INTRO MICROECON,ECON200,AA,0,50,F,830-950
13631,INTRO MICROECON,ECON200,AB,0,50,F,1000-1120
13632,INTRO MICROECON,ECON200,AC,0,50,F,930-1050
13633,INTRO MICROECON,ECON200,AD,0,50,F,1100-1220
13634,INTRO MICROECON,ECON200,AE,0,50,F,1130-1250
13635,INTRO MICROECON,ECON200,AF,0,50,F,1200-120
13636,INTRO MICROECON,ECON200,AG,0,50,F,830-950
13637,INTRO MICROECON,ECON200,AH,0,50,F,1000-1120
13638,INTRO MICROECON,ECON200,AI,0,50,F,930-1050
13639,INTRO MICROECON,ECON200,AJ,0,50,F,1100-1220
13640,INTRO MICROECON,ECON200,B,0,45,MW,630-820P
13641,INTRO MACROECON,ECON201,A,0,400,TTh,230-350
13643,INTRO MACROECON,ECON201,AB,0,50,F,1000-1120
13644,INTRO MACROECON,ECON201,AC,0,50,F,930-1050
13645,INTRO MACROECON,ECON201,AD,0,50,F,1100-1220
13646,INTRO MACROECON,ECON201,AE,0,50,F,1030-1150
13647,INTRO MACROECON,ECON201,AF,0,50,F,1200-120
13648,INTRO MACROECON,ECON201,AG,0,50,F,830-950
13649,INTRO MACROECON,ECON201,AH,0,50,F,1000-1120
13650,INTRO MACROECON,ECON201,B,0,45,MW,1130-120
13651,INTRO MACROECON,ECON201,C,0,45,MW,830-1020
13652,INTRO MACROECON,ECON201,D,0,45,TTh,630-820P
13653,ECONOMICS FISH&OCN,ECON230,A,0,0,MWF,130-250
13654,INTRO ENVIRO ECON,ECON235,A,0,10,MW,100-250
13655,INTERMED MICRO-ECON ,ECON300,A,0,70,MW,1030-1220
13656,INTERMED MICRO-ECON ,ECON300,AA,0,35,Th,930-1020
13657,INTERMED MICRO-ECON ,ECON300,AB,0,35,Th,1230-120
13658,INTERMED MICRO-ECON ,ECON300,B,0,40,MW,830-1020
13659,INTERMED MICRO-ECON ,ECON300,C,0,40,TTh,430-620P
13660,INTERMED MICRO-ECON ,ECON300,D,0,40,TTh,1230-220
13661,INTERMED MACRO-ECON ,ECON301,A,0,35,TTh,430-620P
13662,INTERMED MACRO-ECON ,ECON301,B,0,40,TTh,1230-220
13663,INTERMED MACRO-ECON ,ECON301,C,0,40,TTh,230-420
13664,INTERMED MACRO-ECON ,ECON301,D,0,40,MW,830-1020
13665,GLOBAL HEALTH ECON,ECON345,A,0,20,TTh,1230-220
13666,GLOBAL HEALTH ECON,ECON345,AA,0,10,W,930-1020
13667,GLOBAL HEALTH ECON,ECON345,AB,0,10,W,230-320
13668,INTRO ECONOMETRICS,ECON382,A,0,100,MW,1030-1150
13669,HONORS RESEARCH SEM ,ECON396,A,0,25,W,330-520
13670,ECON INTERNSHIP,ECON399,A,0,20,W,830-950
13671,ADVANCED MICROECON,ECON400,A,0,35,TTh,1030-1220
13672,ADVANCED MACROECON,ECON401,A,0,35,MW,1030-1220
13673,ADVANCED MACROECON,ECON401,B,0,35,MW,330-520
13674,IND ORG&PRICE ANLYS ,ECON404,A,0,35,TTh,330-520
13675,LAW & ECONOMICS,ECON408,A,0,35,TTh,130-320
13676,UNDERG SEM-POL ECON ,ECON409,A,0,5,MW,430-620P
13677,MNY CRDT & THE ECON ,ECON421,A,0,35,TTh,230-420
13678,INVESTM CAPTL FNANC ,ECON422,A,0,40,TTh,830-1020
13679,TOPICS IN FIN ECON,ECON423,A,0,35,TTh,330-520
13680,COMPUTATNL FINANCE,ECON424,A,0,72,TTh,1030-1220
21339,ENVIRONMENTAL ECON,ECON436,A,0,35,MW,330-520
13681,LABOR MKT ANALYSIS,ECON443,A,0,35,MW,330-520
13682,ECON OF GENDER,ECON447,A,0,30,TTh,330-520
13683,POPULATION & DEVEL,ECON448,A,0,35,TTh,830-1020
13684,INTERNATIONAL TRADE ,ECON471,A,0,40,MW,130-320
13685,INTERNATL FINANCE,ECON472,A,0,40,MW,1030-1220
13686,ECONOMETRIC THRY&PR ,ECON482,A,0,28,MW,130-320
13687,ECONOMETRIC THRY&PR ,ECON482,B,0,28,TTh,1030-1220
13688,ECNMTRCS & DATA SCI ,ECON484,A,0,35,MW,530-720P
13689,GAME THEORY,ECON485,A,0,35,MW,1230-220
13690,ISSUES ECON DEVELOP ,ECON491,A,0,35,TTh,130-320
13691,UNDERGRAD RESEARCH,ECON499,A,0,20,empty,empty
13692,MICROECN ANLYS III,ECON508,A,0,40,MW,330-450
13693,MACROECON ANLYS III ,ECON509,A,0,35,MW,130-250
13694,ADV MICRO-EC THRY,ECON511,A,0,15,MW,330-450
13695,MACRO EMPIR & THRY,ECON527,A,0,15,MW,1030-1150
13696,EMPIRICAL INDUST ORG,ECON534,A,0,15,MW,1200-120
13698,ECONOMETRICS III,ECON582,A,0,35,TTh,130-250
13699,ECONOMETRIC THY III ,ECON585,A,0,15,MW,130-250
13700,TIME SERIES ANALYSIS,ECON586,A,0,15,TTh,330-450
13701,MICROECON OF DEVELP ,ECON593,A,0,15,TTh,900-1020
13702,PRACT IN MICROECON,ECON596,A,0,20,TTh,130-250
21727,PRACT IN MICROECON,ECON596,B,0,15,MW,500-620P
13703,ISSUES ECONOMETRICS ,ECON599,A,0,15,MW,900-1020
13704,INDEPNDNT STDY/RSCH ,ECON600,A,0,50,empty,empty
13705,INTERNSHIP,ECON601,A,0,50,empty,empty
13706,DOCTORAL DISSERTATN ,ECON800,A,0,30,empty,empty
