SLN,Course Name,Course Ticker,Section,Required Section Amount,Limit,Class Day,Class Time
13928,INTRO MICROECON,ECON200,A,0,600,TTh,830-950
13929,INTRO MICROECON,ECON200,AA,0,50,F,830-950
13930,INTRO MICROECON,ECON200,AB,0,50,F,1000-1120
13931,INTRO MICROECON,ECON200,AC,0,50,F,930-1050
13932,INTRO MICROECON,ECON200,AD,0,50,F,1100-1220
13933,INTRO MICROECON,ECON200,AE,0,50,F,1030-1150
13934,INTRO MICROECON,ECON200,AF,0,50,F,1200-120
13935,INTRO MICROECON,ECON200,AG,0,50,F,930-1050
13936,INTRO MICROECON,ECON200,AH,0,50,F,1000-1120
13937,INTRO MICROECON,ECON200,AI,0,50,F,1130-1250
13938,INTRO MICROECON,ECON200,AJ,0,50,F,930-1050
13939,INTRO MICROECON,ECON200,AK,0,50,F,1030-1150
13940,INTRO MICROECON,ECON200,AL,0,50,F,1200-120
13942,INTRO MICROECON,ECON200,C,0,45,MW,830-1020
13943,INTRO MICROECON,ECON200,D,0,45,MW,430-620P
13944,INTRO MICROECON,ECON200,E,0,45,MTWThF,1230-120
13945,INTRO MICROECON,ECON200,F,0,40,MW,330-520
13946,INTRO MACROECON,ECON201,A,0,450,TTh,1000-1120
13947,INTRO MACROECON,ECON201,AA,0,50,F,830-950
13948,INTRO MACROECON,ECON201,AB,0,50,F,1000-1120
13949,INTRO MACROECON,ECON201,AC,0,50,F,930-1050
13950,INTRO MACROECON,ECON201,AD,0,50,F,1100-1220
13951,INTRO MACROECON,ECON201,AE,0,50,F,1030-1150
13952,INTRO MACROECON,ECON201,AF,0,50,F,1200-120
13953,INTRO MACROECON,ECON201,AG,0,50,F,930-1050
13954,INTRO MACROECON,ECON201,AH,0,50,F,1200-120
13955,INTRO MACROECON,ECON201,AI,0,50,F,1130-1250
13956,INTRO MACROECON,ECON201,B,0,45,MW,830-1020
13957,INTRO MACROECON,ECON201,C,0,40,TTh,330-520
13958,INTRO MACROECON,ECON201,D,0,40,MW,1230-220
13959,INTRO MACROECON,ECON201,E,0,40,TTh,630-820P
13960,INTERMED MICRO-ECON ,ECON300,A,0,35,TTh,1030-1220
13961,INTERMED MICRO-ECON ,ECON300,B,0,35,MW,830-1020
13962,INTERMED MICRO-ECON ,ECON300,C,0,35,TTh,1230-220
13963,INTERMED MICRO-ECON ,ECON300,D,0,35,MW,330-520
13964,INTERMED MICRO-ECON ,ECON300,E,0,35,TTh,230-420
13966,INTERMED MACRO-ECON ,ECON301,A,0,40,TTh,430-620P
13967,INTERMED MACRO-ECON ,ECON301,B,0,40,TTh,230-420
13968,INTERMED MACRO-ECON ,ECON301,C,0,40,MW,830-1020
13969,INTERMED MACRO-ECON ,ECON301,D,0,40,MW,130-320
22006,INTRO ECONOMETRICS,ECON382,A,0,90,TTh,230-350
13970,ECON INTERNSHIP,ECON399,A,0,15,T,830-950
13971,ADVANCED MICROECON,ECON400,A,0,40,TTh,130-320
13972,UNDERG SEM-POL ECON ,ECON409,A,0,2,MW,1130-120
13973,ECON OF NETWORKS,ECON410,A,0,35,TTh,830-1020
13974,BEHAVIORAL ECONOMICS,ECON411,A,0,35,MW,1230-220
13975,MACROECN & INEQLTY,ECON412,A,0,35,TTh,130-320
13976,MNY CRDT & THE ECON ,ECON421,A,0,35,TTh,430-620P
22369,INVESTM CAPTL FNANC ,ECON422,A,0,35,MW,830-1020
13978,PUB FIN: TAX POLICY ,ECON451,A,0,35,TTh,1030-1220
13979,INTERNATIONAL TRADE ,ECON471,A,0,35,MW,130-320
13980,INTERNATIONAL MACRO ,ECON472,A,0,40,MW,1030-1220
13981,ECON OF EURO UNION,ECON475,A,0,30,MW,230-420
13983,ECONOMETRIC THRY&PR ,ECON482,A,0,35,TTh,1030-1220
13984,ECONOMETRIC THRY&PR ,ECON482,B,0,35,MW,1030-1220
13985,ECONOMETRIC APP,ECON483,A,0,35,MW,130-320
13986,GAME THEORY,ECON485,A,0,35,MW,1030-1220
13987,CAUSAL INFERENCE,ECON488,A,0,35,MW,530-720P
13989,H-HNRS DRCTD STUDY,ECON497,A,0,25,empty,empty
13990,UNDERGRAD RESEARCH,ECON499,A,0,12,empty,empty
13991,MICROECN ANLYS II,ECON501,A,0,35,MW,330-450
13992,MACROECN ANLYS II,ECON503,A,0,35,TTh,330-450
13993,CONTRACT THEORY,ECON518,A,0,15,T,330-620
13994,COMPUTATIONAL ECON,ECON525,A,0,15,MW,1200-120
13995,EMPIRICAL IND ORG I ,ECON532,A,0,20,MW,1100-1220
13996,NATURAL RESOURCES 3 ,ECON539,A,0,10,W,200-450
13997,ECONOMETRICS II,ECON581,A,0,35,MW,130-250
13998,ECONOMETRIC THY II,ECON584,A,0,20,TTh,130-250
13999,ECON IN TRANSITION,ECON590,A,0,20,TTh,1100-1220
14000,FIN MKTS & ECON DEV ,ECON592,A,0,20,MW,330-450
14002,INDEPNDNT STDY/RSCH ,ECON600,A,0,45,empty,empty
14003,INTERNSHIP,ECON601,A,0,20,empty,empty
14004,DOCTORAL DISSERTATN ,ECON800,A,0,45,empty,empty
