SLN,Course Name,Course Ticker,Section,Required Section Amount,Limit,Class Day,Class Time
15647,GENDER & INFO TECH,INFO102,A,0,132,empty,empty
15648,GENDER & INFO TECH,INFO102,AA,0,22,W,330-420
15649,GENDER & INFO TECH,INFO102,AB,0,22,W,430-520P
15650,GENDER & INFO TECH,INFO102,AC,0,22,Th,830-920
15651,GENDER & INFO TECH,INFO102,AD,0,22,Th,930-1020
15652,GENDER & INFO TECH,INFO102,AE,0,22,Th,1030-1120
15653,GENDER & INFO TECH,INFO102,AF,0,22,Th,1130-1220
21263,SOC MED ETHICS AUTO ,INFO103,A,0,150,TTh,130-320
21264,SOC MED ETHICS AUTO ,INFO103,AA,0,25,T,330-420
21265,SOC MED ETHICS AUTO ,INFO103,AB,0,25,T,430-520P
21266,SOC MED ETHICS AUTO ,INFO103,AC,0,25,W,830-920
21267,SOC MED ETHICS AUTO ,INFO103,AD,0,25,W,930-1020
21268,SOC MED ETHICS AUTO ,INFO103,AE,0,25,W,1030-1120
21269,SOC MED ETHICS AUTO ,INFO103,AF,0,25,W,1130-1220
15654,EXPLORING INFORM,INFO198,A,0,50,MW,830-1020
15655,EXPLORING INFORM,INFO198,AA,0,25,M,1030-1120
15660,EXPLORING INFORM,INFO198,AF,0,25,T,1130-1220
15661,INTELL FOUNDATIONS,INFO200,A,0,200,MW,1030-1220
15662,INTELL FOUNDATIONS,INFO200,AA,0,25,M,130-220
15663,INTELL FOUNDATIONS,INFO200,AB,0,25,M,230-320
15664,INTELL FOUNDATIONS,INFO200,AC,0,25,M,330-420
15665,INTELL FOUNDATIONS,INFO200,AD,0,25,M,430-520P
15666,INTELL FOUNDATIONS,INFO200,AE,0,25,T,130-220
15667,INTELL FOUNDATIONS,INFO200,AF,0,25,T,230-320
15668,INTELL FOUNDATIONS,INFO200,AG,0,25,T,330-420
15669,INTELL FOUNDATIONS,INFO200,AH,0,25,T,430-520P
15670,INTELL FOUNDATIONS,INFO200,B,0,200,TTh,330-520
15671,INTELL FOUNDATIONS,INFO200,BA,0,25,T,530-620P
15672,INTELL FOUNDATIONS,INFO200,BB,0,25,W,130-220
15673,INTELL FOUNDATIONS,INFO200,BC,0,25,W,230-320
15674,INTELL FOUNDATIONS,INFO200,BD,0,25,W,330-420
15675,INTELL FOUNDATIONS,INFO200,BE,0,25,W,430-520P
15676,INTELL FOUNDATIONS,INFO200,BF,0,25,W,530-620P
15677,INTELL FOUNDATIONS,INFO200,BG,0,25,Th,130-220
15678,INTELL FOUNDATIONS,INFO200,BH,0,25,Th,230-320
15679,DATA SCI FOUNDATIONS,INFO201,A,0,200,MW,130-320
15680,DATA SCI FOUNDATIONS,INFO201,AA,0,25,M,330-420
15681,DATA SCI FOUNDATIONS,INFO201,AB,0,25,M,430-520P
15682,DATA SCI FOUNDATIONS,INFO201,AC,0,25,T,830-920
15683,DATA SCI FOUNDATIONS,INFO201,AD,0,25,T,930-1020
15684,DATA SCI FOUNDATIONS,INFO201,AE,0,25,T,1030-1120
15685,DATA SCI FOUNDATIONS,INFO201,AF,0,25,T,1130-1220
15686,DATA SCI FOUNDATIONS,INFO201,AG,0,25,W,1030-1120
15687,DATA SCI FOUNDATIONS,INFO201,AH,0,25,W,1130-1220
15688,DATA SCI FOUNDATIONS,INFO201,B,0,200,TTh,1030-1220
15689,DATA SCI FOUNDATIONS,INFO201,BA,0,25,T,130-220
15690,DATA SCI FOUNDATIONS,INFO201,BB,0,25,T,230-320
15691,DATA SCI FOUNDATIONS,INFO201,BC,0,25,W,830-920
15692,DATA SCI FOUNDATIONS,INFO201,BD,0,25,W,930-1020
15693,DATA SCI FOUNDATIONS,INFO201,BE,0,25,W,1030-1120
15694,DATA SCI FOUNDATIONS,INFO201,BF,0,25,W,1130-1220
15695,DATA SCI FOUNDATIONS,INFO201,BG,0,25,Th,830-920
15696,DATA SCI FOUNDATIONS,INFO201,BH,0,25,Th,930-1020
15697,RESEARCH METHODS,INFO300,A,0,70,TTh,830-950
15698,RESEARCH METHODS,INFO300,AA,0,35,T,1030-1220
15699,RESEARCH METHODS,INFO300,AB,0,35,W,830-1020
15700,RESEARCH METHODS,INFO300,B,0,70,MW,330-450
15701,RESEARCH METHODS,INFO300,BA,0,35,T,130-320
15702,RESEARCH METHODS,INFO300,BB,0,35,T,330-520
15703,COMP NET & DIST APP ,INFO314,A,0,35,MW,530-720P
15704,DB & DATA MODELING,INFO330,A,0,70,MW,130-320
15705,DB & DATA MODELING,INFO330,AA,0,35,M,330-420
15706,DB & DATA MODELING,INFO330,AB,0,35,T,130-220
15707,DB & DATA MODELING,INFO330,B,0,70,TTh,830-1020
15708,DB & DATA MODELING,INFO330,BA,0,35,W,930-1020
15709,DB & DATA MODELING,INFO330,BB,0,35,W,1030-1120
15710,CLIENT-SIDE DEV,INFO340,A,0,70,TTh,1030-1220
15711,CLIENT-SIDE DEV,INFO340,AA,0,35,T,1230-120
15712,CLIENT-SIDE DEV,INFO340,AB,0,35,W,1130-1220
15713,CLIENT-SIDE DEV,INFO340,B,0,70,MW,330-520
15714,CLIENT-SIDE DEV,INFO340,BA,0,35,T,330-420
15715,CLIENT-SIDE DEV,INFO340,BB,0,35,W,1230-120
15716,INFO ETHICS & POLCY ,INFO350,A,0,70,TTh,330-520
15717,INFO ETHICS & POLCY ,INFO350,AA,0,35,T,530-620P
15718,INFO ETHICS & POLCY ,INFO350,AB,0,35,W,430-520P
15719,INFO ETHICS & POLCY ,INFO350,B,0,70,MW,830-1020
15720,INFO ETHICS & POLCY ,INFO350,BA,0,35,M,1030-1120
15721,INFO ETHICS & POLCY ,INFO350,BB,0,35,T,930-1020
15722,DESIGN METHODS,INFO360,A,0,70,MW,1030-1220
15723,DESIGN METHODS,INFO360,B,0,70,TTh,130-320
15724,DATA SCIENCE METHDS ,INFO370,A,0,65,MW,830-1020
15725,DATA SCIENCE METHDS ,INFO370,AA,0,33,M,1030-1120
15726,DATA SCIENCE METHDS ,INFO370,AB,0,32,T,930-1020
15727,DATA SCIENCE METHDS ,INFO370,B,0,5,MW,830-1020
15728,DATA SCIENCE METHDS ,INFO370,BA,0,2,M,1030-1120
15729,DATA SCIENCE METHDS ,INFO370,BB,0,3,T,930-1020
15730,ADV DATA SCI METHDS ,INFO371,A,0,65,MW,130-320
15731,ADV DATA SCI METHDS ,INFO371,AA,0,33,M,330-420
15732,ADV DATA SCI METHDS ,INFO371,AB,0,32,T,1130-1220
15733,ADV DATA SCI METHDS ,INFO371,B,0,5,MW,130-320
15734,ADV DATA SCI METHDS ,INFO371,BA,0,2,M,330-420
15735,ADV DATA SCI METHDS ,INFO371,BB,0,3,T,1130-1220
15736,IS ANALYSIS & DSGN,INFO380,A,0,70,TTh,330-520
15737,IS ANALYSIS & DSGN,INFO380,AA,0,35,W,330-420
15738,IS ANALYSIS & DSGN,INFO380,AB,0,35,Th,1230-120
15739,IS ANALYSIS & DSGN,INFO380,B,0,70,MW,130-320
