SLN,Course Name,Course Ticker,Section,Required Section Amount,Limit,Class Day,Class Time
16023,SOCIAL NETWORKING,INFO101,A,0,150,TTh,130-320
16024,SOCIAL NETWORKING,INFO101,AA,0,25,W,1030-1120
16025,SOCIAL NETWORKING,INFO101,AB,0,25,W,1130-1220
16026,SOCIAL NETWORKING,INFO101,AC,0,25,W,130-220
16027,SOCIAL NETWORKING,INFO101,AD,0,25,W,230-320
16028,SOCIAL NETWORKING,INFO101,AE,0,25,Th,1030-1120
16029,SOCIAL NETWORKING,INFO101,AF,0,25,Th,1130-1220
16030,GENDER & INFO TECH,INFO102,A,0,132,empty,empty
16031,GENDER & INFO TECH,INFO102,AA,0,22,T,830-920
16032,GENDER & INFO TECH,INFO102,AB,0,22,T,1030-1120
16033,GENDER & INFO TECH,INFO102,AC,0,22,T,1230-120
16034,GENDER & INFO TECH,INFO102,AD,0,22,W,1230-120
16035,GENDER & INFO TECH,INFO102,AE,0,22,W,330-420
16036,GENDER & INFO TECH,INFO102,AF,0,22,W,430-520P
16037,INTELL FOUNDATIONS,INFO200,A,0,200,empty,empty
16038,INTELL FOUNDATIONS,INFO200,AA,0,25,T,130-220
16039,INTELL FOUNDATIONS,INFO200,AB,0,25,T,130-220
16040,INTELL FOUNDATIONS,INFO200,AC,0,25,T,230-320
16041,INTELL FOUNDATIONS,INFO200,AD,0,25,T,230-320
16042,INTELL FOUNDATIONS,INFO200,AE,0,25,T,330-420
16043,INTELL FOUNDATIONS,INFO200,AF,0,25,T,430-520P
16044,INTELL FOUNDATIONS,INFO200,AG,0,25,W,130-220
16045,INTELL FOUNDATIONS,INFO200,AH,0,25,W,230-320
16046,INTELL FOUNDATIONS,INFO200,B,0,200,empty,empty
16047,INTELL FOUNDATIONS,INFO200,BA,0,25,T,330-420
16048,INTELL FOUNDATIONS,INFO200,BB,0,25,T,430-520P
16049,INTELL FOUNDATIONS,INFO200,BC,0,25,T,530-620P
16050,INTELL FOUNDATIONS,INFO200,BD,0,25,W,130-220
16051,INTELL FOUNDATIONS,INFO200,BE,0,25,W,230-320
16052,INTELL FOUNDATIONS,INFO200,BF,0,25,W,330-420
16053,INTELL FOUNDATIONS,INFO200,BG,0,25,W,330-420
16054,INTELL FOUNDATIONS,INFO200,BH,0,25,W,430-520P
16055,DATA SCI FOUNDATIONS,INFO201,A,0,200,TTh,1030-1220
16056,DATA SCI FOUNDATIONS,INFO201,AA,0,25,T,130-220
16057,DATA SCI FOUNDATIONS,INFO201,AB,0,25,T,230-320
16058,DATA SCI FOUNDATIONS,INFO201,AC,0,25,W,830-920
16059,DATA SCI FOUNDATIONS,INFO201,AD,0,25,W,930-1020
16060,DATA SCI FOUNDATIONS,INFO201,AE,0,25,W,1030-1120
16061,DATA SCI FOUNDATIONS,INFO201,AF,0,25,W,1130-1220
16062,DATA SCI FOUNDATIONS,INFO201,AG,0,25,Th,830-920
16063,DATA SCI FOUNDATIONS,INFO201,AH,0,25,Th,930-1020
