SLN,Course Name,Course Ticker,Section,Required Section Amount,Limit,Class Day,Class Time
18698,INTRO TO PHILOSOPHY ,PHIL100,A,0,200,TTh,1000-1120
18699,INTRO TO PHILOSOPHY ,PHIL100,AA,0,25,MW,830-920
18700,INTRO TO PHILOSOPHY ,PHIL100,AB,0,25,MW,830-920
18701,INTRO TO PHILOSOPHY ,PHIL100,AC,0,25,MW,930-1020
18702,INTRO TO PHILOSOPHY ,PHIL100,AD,0,25,MW,930-1020
18703,INTRO TO PHILOSOPHY ,PHIL100,AE,0,25,MW,1130-1220
18704,INTRO TO PHILOSOPHY ,PHIL100,AF,0,25,MW,1230-120
18705,INTRO TO PHILOSOPHY ,PHIL100,AG,0,25,MW,430-520P
18706,INTRO TO PHILOSOPHY ,PHIL100,AH,0,25,MW,530-620P
18707,ETHICS OF PERSUASION,PHIL118,A,0,300,MW,1000-1120
18708,ETHICS OF PERSUASION,PHIL118,AA,0,33,F,830-920
18709,ETHICS OF PERSUASION,PHIL118,AB,0,33,F,930-1020
18710,ETHICS OF PERSUASION,PHIL118,AC,0,34,F,930-1020
18711,ETHICS OF PERSUASION,PHIL118,AD,0,34,F,1030-1120
18712,ETHICS OF PERSUASION,PHIL118,AE,0,33,F,1130-1220
18713,ETHICS OF PERSUASION,PHIL118,AF,0,33,F,1230-120
18714,ETHICS OF PERSUASION,PHIL118,AG,0,34,F,230-320
18715,ETHICS OF PERSUASION,PHIL118,AH,0,33,F,330-420
18716,ETHICS OF PERSUASION,PHIL118,AI,0,33,F,430-520P
18717,INTRO TO LOGIC,PHIL120,A,0,315,MWF,930-1020
18718,INTRO TO LOGIC,PHIL120,AA,0,35,TTh,830-920
18719,INTRO TO LOGIC,PHIL120,AB,0,35,TTh,830-920
18720,INTRO TO LOGIC,PHIL120,AC,0,35,TTh,930-1020
18721,INTRO TO LOGIC,PHIL120,AD,0,35,TTh,930-1020
18722,INTRO TO LOGIC,PHIL120,AE,0,35,TTh,1030-1120
18723,INTRO TO LOGIC,PHIL120,AF,0,35,TTh,1130-1220
18724,INTRO TO LOGIC,PHIL120,AG,0,35,TTh,1230-120
18725,INTRO TO LOGIC,PHIL120,AH,0,35,TTh,1230-120
18726,INTRO TO LOGIC,PHIL120,AI,0,35,TTh,130-220
18727,PERSPECTIVES ON SCI ,PHIL160,A,0,100,TTh,1130-1250
18728,PERSPECTIVES ON SCI ,PHIL160,AA,0,25,MW,1230-120
18729,PERSPECTIVES ON SCI ,PHIL160,AB,0,25,MW,130-220
18730,PERSPECTIVES ON SCI ,PHIL160,AC,0,25,MW,330-420
18731,PERSPECTIVES ON SCI ,PHIL160,AD,0,25,MW,430-520P
18733,MEDICAL ETHICS,PHIL242,A,0,100,TTh,100-220
18734,MEDICAL ETHICS,PHIL242,AA,0,25,MW,830-920
18735,MEDICAL ETHICS,PHIL242,AB,0,25,MW,930-1020
18736,MEDICAL ETHICS,PHIL242,AC,0,25,MW,130-220
18737,MEDICAL ETHICS,PHIL242,AD,0,25,MW,230-320
18741,MODERN PHILOSOPHY,PHIL322,A,0,35,TTh,430-620P
18742,PLATO'S REPUBLIC,PHIL335,A,0,35,TTh,230-420
18744,INTRO PHIL OF MATH,PHIL373,A,0,35,MW,130-320
18745,ADV TOPICS IN PHIL,PHIL401,A,0,30,MW,1230-220
18748,ANIMAL WELFARE,PHIL415,A,0,30,TTh,1030-1220
18749,20TH CENTURY PHILOS ,PHIL426,A,0,30,TTh,130-320
21499,PHENOMENOLOGY,PHIL458,A,0,30,TTh,230-420
18750,PHIL COG SCIENCE,PHIL464,A,0,30,MW,1030-1220
18751,ADVANCED LOGIC,PHIL471,A,0,20,TTh,1230-220
18752,PHIL OF BIOLOGY,PHIL481,A,0,30,MW,1030-1220
18753,READING IN PHILOS,PHIL484,A,0,45,empty,empty
18754,READING IN PHILOS,PHIL484,B,0,45,empty,empty
18756,INTERNSHIP,PHIL498,A,0,45,empty,empty
18757,PRE DISRTN WRKSHP II,PHIL503,A,0,10,M,330-520
18758,SMNR LEGAL PHILOS,PHIL514,A,0,15,W,330-520
18759,SEM PHIL OF SCIENCE ,PHIL560,A,0,15,Th,330-520
18760,READING IN PHILOS,PHIL584,A,0,20,empty,empty
18762,INDEPNDNT STDY/RSCH ,PHIL600,A,0,35,empty,empty
18763,DOCTORAL DISSERTATN ,PHIL800,A,0,25,empty,empty
