SLN,Course Name,Course Ticker,Section,Required Section Amount,Limit,Class Day,Class Time
19213,INTRO TO PHILOSOPHY ,PHIL100,A,0,100,MWF,930-1020
19216,INTRO TO PHILOSOPHY ,PHIL100,AC,0,25,TTh,830-920
19217,INTRO TO PHILOSOPHY ,PHIL100,AD,0,25,TTh,930-1020
19218,INTRO TO PHILOSOPHY ,PHIL100,AE,0,25,TTh,930-1020
19219,INTRO TO PHILOSOPHY ,PHIL100,AF,0,25,TTh,1030-1120
19220,PRACTICAL REASONING ,PHIL115,A,0,150,empty,empty
19223,PRACTICAL REASONING ,PHIL115,AC,0,25,MW,930-1020
19224,PRACTICAL REASONING ,PHIL115,AD,0,25,MW,1030-1120
19225,PRACTICAL REASONING ,PHIL115,AE,0,25,MW,1130-1220
19226,PRACTICAL REASONING ,PHIL115,AF,0,25,MW,1230-120
19227,PRACTICAL REASONING ,PHIL115,AG,0,25,MW,230-320
19228,PRACTICAL REASONING ,PHIL115,AH,0,25,MW,330-420
19229,INTRO TO LOGIC,PHIL120,A,0,315,TTh,1130-1250
19231,INTRO TO LOGIC,PHIL120,AB,0,35,MW,830-920
19232,INTRO TO LOGIC,PHIL120,AC,0,35,MW,930-1020
19233,INTRO TO LOGIC,PHIL120,AD,0,35,MW,1030-1120
19234,INTRO TO LOGIC,PHIL120,AE,0,35,MW,1130-1220
19235,INTRO TO LOGIC,PHIL120,AF,0,35,MW,1130-1220
19236,INTRO TO LOGIC,PHIL120,AG,0,35,MW,1230-120
19237,INTRO TO LOGIC,PHIL120,AH,0,35,MW,130-220
19238,INTRO TO LOGIC,PHIL120,AI,0,35,MW,230-320
19240,INTRO TO LOGIC,PHIL120,AK,0,35,MW,330-420
19242,EXISTENTIALISM&FILM ,PHIL149,A,0,315,MW,100-220
19243,EXISTENTIALISM&FILM ,PHIL149,AA,0,35,F,1030-1120
19244,EXISTENTIALISM&FILM ,PHIL149,AB,0,35,F,1230-120
19245,EXISTENTIALISM&FILM ,PHIL149,AC,0,35,F,1230-120
19246,EXISTENTIALISM&FILM ,PHIL149,AD,0,35,F,1230-120
19247,EXISTENTIALISM&FILM ,PHIL149,AE,0,35,F,130-220
19248,EXISTENTIALISM&FILM ,PHIL149,AF,0,35,F,130-220
19249,EXISTENTIALISM&FILM ,PHIL149,AG,0,35,F,230-320
19250,EXISTENTIALISM&FILM ,PHIL149,AH,0,35,F,330-420
19251,EXISTENTIALISM&FILM ,PHIL149,AI,0,35,F,330-420
19253,ENVIRONMENTAL ETHICS,PHIL243,A,0,100,TTh,1000-1120
19254,ENVIRONMENTAL ETHICS,PHIL243,AA,0,13,WF,830-920
19255,ENVIRONMENTAL ETHICS,PHIL243,AB,0,12,WF,830-920
19256,ENVIRONMENTAL ETHICS,PHIL243,AC,0,13,WF,930-1020
19257,ENVIRONMENTAL ETHICS,PHIL243,AD,0,12,WF,930-1020
19258,ENVIRONMENTAL ETHICS,PHIL243,AE,0,13,WF,1130-1220
19259,ENVIRONMENTAL ETHICS,PHIL243,AF,0,12,WF,1230-120
19260,ENVIRONMENTAL ETHICS,PHIL243,AG,0,13,WF,230-320
19261,ENVIRONMENTAL ETHICS,PHIL243,AH,0,12,WF,330-420
19263,CRIME & PUNISHMENT,PHIL314,A,0,35,MW,230-420
19264,ANCIENT PHILOSOPHY,PHIL320,A,0,35,TTh,230-420
19265,MODERN PHILOSOPHY,PHIL322,A,0,35,MW,1130-120
19266,ADV TOPICS IN PHIL,PHIL401,A,0,12,TTh,1230-220
19267,ADV TOPICS IN PHIL,PHIL401,B,0,15,MW,1030-1220
19269,PHIL TOPICS IN FEM,PHIL406,A,0,30,TTh,1030-1220
19270,INTERNATIONL JUSTICE,PHIL407,A,0,30,MW,1030-1220
19271,JUSTICE HEALTH CARE ,PHIL411,A,0,5,TTh,230-420
22195,ETHICS,PHIL440,A,0,30,TTh,130-320
19272,PHIL OF SCIENCE,PHIL460,A,0,30,MWF,100-220
19273,INTERMEDIATE LOGIC,PHIL470,A,0,30,MWF,1000-1120
19274,SEMANTICS II,PHIL479,A,0,0,TTh,1030-1220
19275,READING IN PHILOS,PHIL484,A,0,30,empty,empty
19276,READING IN PHILOS,PHIL484,B,0,20,empty,empty
19277,PHILS IN SCHOOLS,PHIL495,A,0,12,T,230-420
19278,INTERNSHIP,PHIL498,A,0,25,empty,empty
19279,TEACHING PHIL II,PHIL505,A,0,10,M,330-520
19280,SMNR SOCIAL PHILOS,PHIL510,A,0,15,Th,330-520
19281,SEM PHIL OF SCIENCE ,PHIL560,A,0,15,W,330-520
19282,READING IN PHILOS,PHIL584,A,0,15,empty,empty
19283,PHILS IN SCHOOLS,PHIL595,A,0,5,T,230-420
19284,INDEPNDNT STDY/RSCH ,PHIL600,A,0,35,empty,empty
19285,DOCTORAL DISSERTATN ,PHIL800,A,0,25,empty,empty
